word,happiness_rank,happiness_average,happiness_standard_deviation,twitter_rank,google_rank,nyt_rank,lyrics_rank
laughter,1.0,8.5,0.9313,3600,--,--,1728
happiness,2.0,8.44,0.9723,1853,2458,--,1230
love,3.0,8.42,1.1082,25,317,328,23
happy,4.0,8.3,0.9949,65,1372,1313,375
laughed,5.0,8.26,1.1572,3334,3542,--,2332
laugh,6.0,8.22,1.3746,1002,3998,4488,647
laughing,7.0,8.2,1.1066,1579,--,--,1122
excellent,8.0,8.18,1.1008,1496,1756,3155,--
laughs,9.0,8.18,1.1551,3554,--,--,2856
joy,10.0,8.16,1.0568,988,2336,2723,809
successful,11.0,8.16,1.0759,2176,1198,1565,--
win,12.0,8.12,1.0812,154,3031,776,694
rainbow,13.0,8.1,0.9949,2726,--,--,1723
smile,14.0,8.1,1.0152,925,2666,2898,349
won,15.0,8.1,1.2164,810,1167,439,1493
pleasure,16.0,8.08,0.9655,1497,1526,4253,1398
smiled,17.0,8.08,1.066,--,3537,--,2248
rainbows,18.0,8.06,1.3603,--,--,--,4216
winning,19.0,8.04,1.049,1876,--,1426,3646
celebration,20.0,8.02,1.5318,3306,--,2762,4070
enjoyed,21.0,8.02,1.5318,1530,2908,3502,--
healthy,22.0,8.02,1.0593,1393,3200,3292,4619
music,23.0,8.02,1.1156,132,875,167,374
celebrating,24.0,8.0,1.1429,2550,--,--,--
congratulations,25.0,8.0,1.6288,2246,--,--,--
weekend,26.0,8.0,1.2936,317,--,833,2256
celebrate,27.0,7.98,1.1516,1606,--,3574,2108
comedy,28.0,7.98,1.1516,1444,--,2566,--
jokes,29.0,7.98,0.9792,2812,--,--,3808
rich,30.0,7.98,1.3169,1625,1221,1469,890
victory,31.0,7.98,1.0784,1809,2341,687,2845
christmas,32.0,7.96,1.293,138,3846,2097,599
free,33.0,7.96,1.261,85,342,393,219
friendship,34.0,7.96,1.1241,4273,3098,3669,3980
fun,35.0,7.96,1.3087,110,4135,2189,463
holidays,36.0,7.96,1.261,1204,--,--,--
loved,37.0,7.96,1.1599,465,2178,890,517
loves,38.0,7.96,1.3696,780,--,--,653
loving,39.0,7.96,1.0093,947,4396,230,527
beach,40.0,7.94,1.0577,573,3596,551,1475
hahaha,41.0,7.94,1.5572,428,--,--,--
kissing,42.0,7.94,1.1323,--,--,--,2052
